dépenser	花费(spend)
les doigts dans le nez	“轻而易举”,手指在鼻子里
parti communiste	共产党
Le réseau	网络(network)
sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
vacciné	疫苗
malheureuses	“不幸的”(阴性复数形式)
communiquer	沟通,交流(英语=communicate)
4 générations sous le même toit	四代人在同一屋檐下生活
domestiques	“家养的,驯养的”(英语=domestic)
