c'est une fille anglaise	这是一个英国女孩
une fête francaise	一个法国节日（形容词放在名词后面）
je parle francais et anglais	我说法语和英语
marc est anglais	"Marc是英国人"
elle s'appelle alice	她叫Alice
comment tu t'appelles	你叫什么？
je m'appelle marie	我叫Marie
tu parles francais	你说法语吗？
je parle	我说
tu habites a paris	你住在巴黎吗？
j'étudie a bordeaux	我在波尔多（法国西南部的一座城市）学习
je travaille ici	我在这里工作
julia est étudiante	"Julia是大学生"
je suis en europe	我在欧洲
il est journaliste	他是记者（有些职业不随着性别而变化）
je travaille à londres	我在伦敦工作（后面是城市，用à）
je travaille en angleterre	我在英国工作（后面是国家，用en）
j'habite à paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
il est americain	"He是American."
je suis une fille	我是女孩
tu es une fille	你是一个女孩
salut paul	你好，Paul
comment çava	怎么样？
ca va bien merci	很好，谢谢
bienvenue marie	欢迎你，Marie
bonjour marie enchanté	你好Marie，很高兴认识你
au revoir	再见
a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
je suis en chine	我在中国
il est en france	他在法国吗？
elle parle espagnol	她说西班牙语
elle est chinoise	她是中国人（阴性形容词以e结尾）
marie est francaise	"Marie是法国人"
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
j'habite en france	我住在法国（不发音的h前面的短词，经常和后面的单词合并缩写）
je travaille en espagne	我在西班牙工作
gabriel est espagnol	"Gabriel是Spanish."
le garçon	这个男孩（le用于阳性名词）
la femme	这个女人（la用于阴性名词）
l'homme	这个男人（以原音或者不发音的h开头，则用l')
je vais	我去
tu vas	你去
il va	他去
elle va	她去
nous allons	（我们去）
vous allez	（您/你们去）
ils vont	（他们去）
elles vont	（她们去）
j'ai	我有（当动词以原音开头，je要改成j')
tu as	你有
il a	他有
elle a	她有
j'ai un passeport	我有一个护照
gants	手套
gustave	古斯塔夫（人名）
compagne	同伴；伴侣；伙伴
espagnol	西班牙的；西班牙语；西班牙人
l'aéroport	这个/那个机场
aéroport	机场
aéro	“大气”和“航空”（名词）
Tu vas à Paris	你要去巴黎
avion	飞机
Tu vas à la gare	你要去火车站
un avion	一架飞机
C'est un hotel espagnol	这是一家西班牙酒店
j'ai une valise	我有一个手提箱
il a une valise	他有一个手提箱
marc a un passeport	"Marc有一本护照"
tu as un avion	你有飞机吗？
voiture	汽车
tu as une voiture francaise	你有一辆法国汽车
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
billet d'avion	机票
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
