motor	"n.马达，发动机；adj.机动车的"
impair	(v.) 损害
imprisonment	(n.) 监禁
stain	"n.污渍，污迹；v.弄脏；玷污；染色"
description	(n.) 描写，形容，叙述
merchant	(n.) 商人；批发商
cater	(v.) 迎合，满足需要
ink	(n.) 墨水，油墨
fierce	"adj.激烈的；凶猛的，凶狠的"
paddle	"v.用脚（手）划水，荡桨；n.桨"
systematic	(adj.) 系统的，有条理的
adopt	(v.) 采纳，采用；收养
bless	(vi.) 有幸具有
misunderstand	(v.) 误解，误会
military	(adj.) 军事的
petal	(n.) 花瓣
barbershop	(n.) 理发店
noble	(adj.) 贵族的，高贵的
claim	"v.声称；认领，要求（拥有）；n.声明"
irrigation	(n.) 灌溉
announcer	(n.) 播音员
afterwards	(adv.) 以后
unrest	(n.) 不安，骚动；动荡的局面
potter	(n.) 陶工
cage	(n.) 笼，鸟笼
brighten	(v.) （使）变亮
sugary	(adj.) 含糖的，甜的
extinct	(adj.) 灭绝的；（火山）死的
nerve	(n.) 神经
remark	(n.) 话语，话
bound	"adj.必然的；有义务的；受约束的，（在法律或道德…"
stem	"n.茎，（树）干；v.起源于"
decide	(v.) 决定；判决
guarantee	(v.) 保证，确保；n.保证
posture	"n.姿势；看法；态度；v.装模作样"
classical	(adj.) 古典的
centigrade	(n.) 摄氏度；adj.摄氏度的
succeed	(v.) 成功
urgent	(adj.) 急迫的
steel	(n.) 钢，钢铁
purpose	(n.) 目的，意图
regulate	(vt.) 管理，控制；调节
primitive	(adj.) 原始的；简陋的
management	(n.) 经营，管理，处理
revolution	(n.)革命
calorie	(n.)【热量单位】卡，卡路里
province	(n.)省
ward	"n.病房；选区；受监护人；v.守护，躲开"
immigrant	"n.移民，外侨；adj.移民的"
shaver	(n.)电动剃须刀
industry	(n.)行业
pride	(n.)自豪
bring in	"phr.增加，赚取，产生，引进"
amuse	(v.)逗乐
astronomy	(n.)天文学
flexible	(adj.)灵活的
pretend	(v.)假装，装扮
lack	(n.)缺乏，短缺；v.缺乏
reform	(n.)改革
registration	(n.)登记，注册，挂号
radioactive	(adj.)辐射的，放射性的
donate	(v.)捐赠
commonwealth	(n.)英联邦
confidential	(adj.)机密的；表示信任的
characteristic	(n.)特征
fascinate	(v.) 使着迷
accommodation	(n.) 住宿，膳宿
conference	(n.) 会议
regain	(vt.) 恢复；重新获得
clarify	(v.)阐明，澄清
aboard	(prep.)上（交通工具）
mature	(adj.)成熟的；v.成熟
approval	(n.)认可
personnel	(n.)员工，人员
county	(n.)<英>郡，<美>县
popcorn	(n.)爆米花
botanical	(adj.)植物（学）的
generate	"v.产生（热、电等能量）；引起，造成，创造"
sunburnt	(adj.)晒黑的，晒伤的
interdependence	(n.)互相依赖
insurance	(n.)保险
advancement	(n.)前进，促进，进展
virtue	(n.)美德，高尚的道德
tiresome	(adj.)烦人的，讨厌的
typical	(adj.) 典型的，有代表性的
contradict	"v.与……发生矛盾，与……抵触，与……对立"
solution	(n.) 解决办法
agenda	(n.) 议程，议程表
