la valise	那个手提箱（是阴性名词）
où est la gare	火车站在哪里？
le billet d'avion	机票（“le”是定冠词，用于修饰阳性名词，“d'”是“de”的缩写形式,表示所属关系）
où est le taxi	那辆出租车在哪里？
bonsoir	晚上好
tu vas à l'hotel	你去这家旅馆hôtel
salut à demain	再见，明天见！
trois personnes	三个人
pour toi	给你的
le serveur parle francais	服务员说法语
le jus d'orange	橙汁（“jus”是阳性名词，意为“果汁”。）
tu aimes les restaurants francais	你喜欢法国饭馆吗？（“aimes”（喜欢）的第二人称单数变位，“français”形容词，“法国的”）
l'addition s'il vous plait	请给我账单
tu prends un thé	你想要茶吗？（吃、喝、乘坐）
petits	小，小的
petit	小；小的；矮
grands	大；高；大型的
magasin	商店
salade	沙拉
bouteille	瓶子
eau	水
verre	杯子；玻璃杯
vin	葡萄酒
bière	啤酒
tasse	杯子
ville	城市
vélo	自行车
plante	植物
vert	绿色；绿色的
ouvert	营业；开着；开
pharmacie	药店
supermarché	超市
petites	小；小的
grande	大；大的；大型的；伟大的；优秀的
aujourd'hui	今天
fermé	关着
cinq	五
journalistes	记者
ont	（有）的第三人称复数形式
ils ont des livres	（他们有一些书。“des”在法语中是不定冠词，用于复数名词前，表示“一些”。）
étudiantes	大学生们
étudie	学习(直陈式现在时第三人称单数)
habitent	（居住）的第三人称复数形式
ils habitent à Paris	（他们住在巴黎。）
travaillent	（工作）的第三人称复数形式
mangent	（吃）的第三人称复数形式
ils mangent des fruits	（他们吃水果。）
trois	三；三只
aimes	喜欢；爱的第二人称单数形式
banque	银行
école	学校
musique	音乐
habitons	（居住）的第一人称复数形式
voulons	想要（第一人称复数形式）
jardin	花园
maison	房子
chouette	猫头鹰
animal de compagnie	宠物
les étudiants	（这些学生）“les”在法语中是定冠词“the”，用于修饰复数名词。
pour moi	给我的；为了我；对于我
ce livre est pour moi	（这本书是给我的。）
une table	一张桌子
une personne	一个人
les toilettes pour femmes	女卫生间，“les”是定冠词，修饰复数名词“toilettes”（卫生间）;“pourfemmes”意思是“为女性”
une table pour deux personnes	一张双人桌
où sont les toilettes	卫生间在哪里
c'est pour moi	这是给我的吗？
j'aime les restaurants francais	我喜欢法国饭馆
la serveuse est américaine	服务员是美国人
je voudrais un thé	我想要一杯茶
un jus d'orange	一杯橙汁
le serveur parle anglais	服务员说英语
tu veux un thé	你想要茶吗？
la serveuse est francaise	服务员是法国人
une chanson chinoise	一首中国歌曲
contente	高兴的；满意；很高兴
ses	“他的/她的/它的（复数）”
ses livres sont intéressants	他/她/它的书很有趣。
ce sont	他们是；她们是
aiment	喜欢（第三人称复数形式）
elles aiment la musique	（她们喜欢音乐。）
tes	你的（复数）
tes livres	你的书
mes	我的（复数）
mes livres sont intéressants	（我的书很有趣。）
les filles sont en espagne	这些女孩在西班牙
boutique	商店
j'étudie à bordeaux	我在波尔多学习
étudiante	女大学生
l'avion	这个/那个飞机（阳性）
l'orange	那个橙子（阴性）
le chien d'anna	"Anna的狗"（注意，de在元音前要变成d')
la musique	音乐
lire un livre	阅读一本书
je prends	（我乘坐/拿）
tu prends	（你乘坐/拿）
il prend	（他乘坐/拿）
elle prend	（她乘坐/拿）
nous prenons	（我们乘坐/拿）
vous prenez	（您/你们乘坐/拿）
ils prennent	（他们乘坐/拿）
elles prennent	（她们乘坐/拿）。
tu vas au restaurant	你去饭馆
elle va au zoo	她去动物园
je mange	我吃;（我吃）
tu manges	你吃（s不发音）;（你吃）
elle mange	她吃;（她吃）
nous mangeons	（我们吃）
vous mangez	（您/你们吃）
ils mangent	（他们吃）
elles mangent	（她们吃）。
des chiens	这些狗
les étudiants étudient	那些大学生学习
ils travaillent en france	他们在法国工作
tu es	你是
il est	他是
nous sommes	（我们是）
vous êtes	（您/你们是）
ils sont	（他们是）
elles sont	（她们是）。
boulangerie	面包房;面包店
j'aime la musique	我喜欢音乐
nous voulons lire un livre	我们想要阅读一本书
je vais à l'école en voiture	我乘汽车去学校
nous allons à la boulangerie	我们去面包店
je prends le bus	我乘坐公共汽车
je vais au parc	我去公园（当à和le一起出现，要合并成au）
elle est amusante	她很有趣
nous sommes chinois	我们是中国人
les garcons sont étudiants	那些男孩是大学生
compagne	同伴；伴侣；伙伴
espagnol	西班牙的；西班牙语；西班牙人
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
hotel	旅馆,饭店
Tu vas à la gare	你要去火车站
un avion	一架飞机
C'est un hotel espagnol	这是一家西班牙酒店
passeport	护照
valise	手提箱
il a une valise	他有一个手提箱
tu as un avion	你有飞机吗？
a bientot	回头见àbientôt
bonne soirée	祝你晚上愉快
bonne nuit	晚安
je suis chinois	我是中国人
elle est coréenne	她是韩国人;她是韩国人（阴性）
je suis en chine	我在中国
il est en france	他在法国吗？
elle parle espagnol	她说西班牙语
il est chinois	他是中国人（国籍用形容词，阳性）
il est coréen	他是韩国人（阳性）
un livre francais	一本法国书
