interactive	（adj. 交互的
definitely	（adv. 肯定地，毫无疑问地；确实；明确地，确定地
qualified	（adj. 合格的，胜任的
eligible	（adj. 符合条件的；（尤指婚姻等）合适的，合意的
unmanned	（adj. 无人驾驶的
automated	（adj. 机械化的；自动化的
manned	（adj. 由人操作的；载人的；有人控制的，需人操纵的
examine	(vt.) 检查；测验；调查
inspect	(v.) 检查，审查
factor	(n.) 因素
fictional	(adj.) 虚构的
impress	(v.) 给……留下深刻印象
memoir	(n.) 回忆录
network	(n.) 网络；人际关系网，联络网
delicate	(adj.) 易碎的，脆弱
below	(prep.) 在……之下；低于；adv. 在下面；在零下；…
differ	(vi.) 相异，不同于
occur	(vi.) 发生；出现，存在；（想法）被想到
come about	(phr.) 发生
certificate	(n.) 合格证书，文凭；证明，证明书
grocery store	(n.) 食品杂货店
cuisine	(n.) 菜肴；烹饪；风味
dilemma	(n.) 进退两难的窘境
vine	(n.) 藤，蔓；葡萄属植物；葡萄藤
portable	(adj.) 轻便的，手提的，便携式的；【财】便于携带的…
directory	(n.) 电话号码簿；目录
drought	(n.) 干旱，旱灾
dictation	(n.) 口述；听写
undemanding	（adj. 容易的；要求不高的；不严格的"
triumph	（n. 喜悦 ，狂喜；胜利，  凯旋；   vi. 成功 ，获胜"
victory	（n. 胜利；成功；克服
hip	（n. 臀部
soil	（n. 泥土 ，土壤；  国土 ，领土；   vt. 弄脏；污损"
undertake	（v. 承担 ，承包
ingredient	（n. 成分 ，构成要素； （烹调的）原料"
golf	（n. 高尔夫球运动
leopard	（n. 豹
devoted	（adj. 热衷的 ，致力于 … 的
loyal	（adj. 忠心的 ，忠诚的； （ 顾客）忠实的；忠贞的；   n. …"
collapse	（n. 崩溃；   v. 崩溃
crash	（n. 撞车；碰撞；坠毁；崩溃；轰隆声；   v. 碰撞；  …"
scan	（v. 细看；浏览；扫描；详细调查；押韵； 【计】  扫描 …"
chief	（adj. 首席的 ，最高级别的；主要的；   n. 首领 ，酋长"
secondary	（adj. 第二的；  次要的；  (疾病 、感染等) 继发性的；  …"
due	（adj. 由于，  因为；预期的；到期的"
owed	（adj. 亏欠的；负债的；感恩的"
diagram	（n. 图表
chart	（n. 图表 ，表格；航海图；每周排行榜；   vt. 制成图表 …"
evidence	（n. 证据，证明
transmission	（n. 传输，发射
sensor	（n. 传感器
detector	（n. 探测器
desperate	（adj. 拼命的
gather	（v. 聚集；收集；采集；使......聚集
delta	（n. （河流的）三角洲
considerable	（adj. 相当大的
ample	（adj. 富足的；丰满的；宽敞的
annually	（adv. 每年
opposite	（adj. 相反的；对立的；对面的； adv. 对立地；反面…
discover	（v. 找到；揭露；探索；发现；查明；探察
journalist	(n. 新闻记者；新闻工作者
cooperative	(adj. 合作的；   n. 合作社
excitement	(n. 兴奋
intolerant	(adj. 不能容忍的；偏执的
dip	(vt. 浸 ，蘸；   n. 倾斜 ，下降
dignity	（n. 尊严；威严；端庄
applaud	（v. 鼓掌；  喝彩；  向 …鼓掌表示赞赏；给 … …捧场；称赞"
sincerely	（adv. 真诚地
pleasure	（n. 愉快 ，乐事；荣幸；高兴 ，乐意"
demanding	（adj. 要求高的
