Je suis une femme	我是一个女人
Tu es Marc	你是Marc吗？
C'est un chat	这是一只猫
Tu manges une pizza	你吃一个披萨
Paul mange un croissant	"Paul吃一个牛角面包"
une orange	一个橙子;一个橙子（阴性）
un homme	一个男人(阳性）
une femme	一个女人(阴性）
un chien	一条狗(阳性）
un croissant	一个牛角面包（阳性）
une pizza	一个披萨（阴性）
Je suis une fille	我是女孩
une femme et un homme	一个女人和一个男人
Tu es une fille	你是一个女孩
Salut Paul	你好，Paul
Comment çava	怎么样？
ca va bien merci	很好，谢谢
Bienvenue Marie	欢迎你，Marie
Bonjour Marie enchanté	你好Marie，很高兴认识你
Au revoir	再见
a bientot	回头见àbientôt
Bonne soirée	祝你晚上愉快
très	非常
bonne nuit	晚安
Tu es francais	你是法国人吗？
Ju suis chinois	我是中国人
Elle est coréenne	她是韩国人;她是韩国人（阴性）
Ju suis en Chine	我在中国
Il est en France	他在法国吗？
Elle parle espagnol	她说西班牙语
Il est chinois	他是中国人（国籍用形容词，阳性）
Elle est chinoise	她是中国人（阴性形容词以e结尾）
Il est coréen	他是韩国人（阳性）
Marie est francaise	"Marie是法国人"
un livre francais	一本法国书
un thé anglais	一杯英国茶
c'est une boutique francaise	这是一家法国商店
c'est une fille anglaise	这是一个英国女孩
un bébé francais	一个法国宝宝
une fête francaise	一个法国节日（形容词放在名词后面）
un chocolat chinois	一块中国巧克力
une boutique espagnole	一家西班牙商店
Je parle francais et anglais	我说法语和英语
Marc est anglais	"Marc是英国人"
Elle s'appelle Alice	她叫Alice
Comment tu t'appelles	你叫什么？
Je m'appelle Marie	我叫Marie
Excuse-moi	对不起
Tu parles francais	你说法语吗？
je suis	我是
tu es	你是
il est	他是
elle est	她是
Il est francais	他是法国人
je parle	我说
je mange	我吃
tu parles	你说（s不发音）
tu manges	你吃（s不发音）
il parle	他说
il mange	他吃
elle parle	她说
elle mange	她吃
Tu habites a Paris	你住在巴黎吗？
J'étudie a Bordeaux	我在波尔多（法国西南部的一座城市）学习
Tu habites a Berlin	你住在柏林（德国的首都）吗？
Je travaille ici	我在这里工作
Julia est étudiante	"Julia是大学生"
Je suis en Europe	我在欧洲
Je suis professeur	我是老师
Il est étudiant	他是大学生（阳性）
Elle est étudiante	她是大学生（阴性）
Il est journaliste	他是记者（有些职业不随着性别而变化）
Elle est journaliste	她是记者（有些职业不随着性别而变化）
Londres	伦敦
Je travaille à Londres	我在伦敦工作（后面是城市，用à）
Angleterre	英国
Je travaille en Angleterre	我在英国工作（后面是国家，用en）
J'habite à Paris	我住在巴黎（不发音的h前面的短词，经常和后面的单词合并缩写）
J'habite en France	我住在法国（不发音的h前面的短词，经常和后面的单词合并缩写）
Je travaille en Espagne	我在西班牙工作
Espagne	西班牙
ton	你的
chien	狗
et	和
café	咖啡
ou	还是
thé	茶
nouveau	新的
livre	书
bon	好的
gâteau	蛋糕
garçon	男孩
girafe	长颈鹿
chocolat	巧克力
neither	"adv.既不……也不……；pron.两者都不"
properly	(adv.) 适当地；正确地
root	"n.根，根茎，根部；根源；词根；v.使固定"
imaginative	(adj.) 富于想象力的；想象的
airspace	(n.) 领空
composer	(n.) 作曲家
arbitrary	"adj.随意的，任性的，随心所欲的"
phenomenon	(n.) 现象
salesgirl	(n.) 女售货员
Midwestern	(adj.) 美国中西部的
actual	(adj.) 实际的，真实的
specialist	(n.) 专家
summary	(n.) 摘要，总结
wander	"v.闲逛，漫步；n.闲逛，漫步"
crew	"n.（有专门技术的）一组工作人员，（飞机、轮船等…"
tease	(v.) 取笑，打趣
tremble	(v.) 颤抖，哆嗦
refer	(v.) 谈及，提到
division	"n.分，分配；除法；部门；分裂"
lend	(v.) 借给（某人钱或东西）
revise	(v.) 修改
crowd	"n.一伙人；人群，观众；v.挤满"
clinic	(n.) 诊所，门诊部
raw	(adj.) 未加工的；原始的
tomb	(n.) 墓穴，坟墓
dormitory	(n.) 宿舍
certainty	(n.) 必然的事；确信
residence	(n.) 住宅
doubtful	(adj.) 怀疑的，疑惑的
absolute	(adj.) 完全的；绝对的
tsunami	(n.) 海啸
